image_path,label
dataset/images/img_0000.jpg,1
dataset/images/img_0001.jpg,1
dataset/images/img_0002.jpg,1
dataset/images/img_0003.jpg,1
dataset/images/img_0004.jpg,1
dataset/images/img_0005.jpg,0
dataset/images/img_0006.jpg,0
dataset/images/img_0007.jpg,1
dataset/images/img_0008.jpg,0
dataset/images/img_0009.jpg,0
dataset/images/img_0010.jpg,0
dataset/images/img_0011.jpg,1
dataset/images/img_0012.jpg,0
dataset/images/img_0013.jpg,0
dataset/images/img_0014.jpg,1
dataset/images/img_0015.jpg,1
dataset/images/img_0016.jpg,0
dataset/images/img_0017.jpg,0
dataset/images/img_0018.jpg,0
dataset/images/img_0019.jpg,1
dataset/images/img_0020.jpg,1
dataset/images/img_0021.jpg,1
dataset/images/img_0022.jpg,1
dataset/images/img_0023.jpg,1
dataset/images/img_0024.jpg,0
dataset/images/img_0025.jpg,0
dataset/images/img_0026.jpg,1
dataset/images/img_0027.jpg,1
dataset/images/img_0028.jpg,0
dataset/images/img_0029.jpg,0
dataset/images/img_0030.jpg,0
dataset/images/img_0031.jpg,1
dataset/images/img_0032.jpg,0
dataset/images/img_0033.jpg,1
dataset/images/img_0034.jpg,1
dataset/images/img_0035.jpg,0
dataset/images/img_0036.jpg,1
dataset/images/img_0037.jpg,1
dataset/images/img_0038.jpg,0
dataset/images/img_0039.jpg,0
dataset/images/img_0040.jpg,0
dataset/images/img_0041.jpg,0
dataset/images/img_0042.jpg,1
dataset/images/img_0043.jpg,1
dataset/images/img_0044.jpg,0
dataset/images/img_0045.jpg,1
dataset/images/img_0046.jpg,1
dataset/images/img_0047.jpg,1
dataset/images/img_0048.jpg,1
dataset/images/img_0049.jpg,0
dataset/images/img_0050.jpg,1
dataset/images/img_0051.jpg,1
dataset/images/img_0052.jpg,1
dataset/images/img_0053.jpg,1
dataset/images/img_0054.jpg,1
dataset/images/img_0055.jpg,1
dataset/images/img_0056.jpg,0
dataset/images/img_0057.jpg,1
dataset/images/img_0058.jpg,1
dataset/images/img_0059.jpg,1
dataset/images/img_0060.jpg,1
dataset/images/img_0061.jpg,1
dataset/images/img_0062.jpg,1
dataset/images/img_0063.jpg,0
dataset/images/img_0064.jpg,0
dataset/images/img_0065.jpg,1
dataset/images/img_0066.jpg,1
dataset/images/img_0067.jpg,1
dataset/images/img_0068.jpg,0
dataset/images/img_0069.jpg,1
dataset/images/img_0070.jpg,0
dataset/images/img_0071.jpg,0
dataset/images/img_0072.jpg,1
dataset/images/img_0073.jpg,0
dataset/images/img_0074.jpg,0
dataset/images/img_0075.jpg,0
dataset/images/img_0076.jpg,0
dataset/images/img_0077.jpg,0
dataset/images/img_0078.jpg,1
dataset/images/img_0079.jpg,0
dataset/images/img_0080.jpg,1
dataset/images/img_0081.jpg,1
dataset/images/img_0082.jpg,0
dataset/images/img_0083.jpg,0
dataset/images/img_0084.jpg,0
dataset/images/img_0085.jpg,1
dataset/images/img_0086.jpg,1
dataset/images/img_0087.jpg,0
dataset/images/img_0088.jpg,1
dataset/images/img_0089.jpg,0
dataset/images/img_0090.jpg,1
dataset/images/img_0091.jpg,1
dataset/images/img_0092.jpg,0
dataset/images/img_0093.jpg,0
dataset/images/img_0094.jpg,1
dataset/images/img_0095.jpg,0
dataset/images/img_0096.jpg,1
dataset/images/img_0097.jpg,1
dataset/images/img_0098.jpg,1
dataset/images/img_0099.jpg,0
dataset/images/img_0100.jpg,1
dataset/images/img_0101.jpg,0
dataset/images/img_0102.jpg,1
dataset/images/img_0103.jpg,0
dataset/images/img_0104.jpg,0
dataset/images/img_0105.jpg,1
dataset/images/img_0106.jpg,0
dataset/images/img_0107.jpg,0
dataset/images/img_0108.jpg,0
dataset/images/img_0109.jpg,0
dataset/images/img_0110.jpg,0
dataset/images/img_0111.jpg,1
dataset/images/img_0112.jpg,0
dataset/images/img_0113.jpg,1
dataset/images/img_0114.jpg,0
dataset/images/img_0115.jpg,1
dataset/images/img_0116.jpg,1
dataset/images/img_0117.jpg,1
dataset/images/img_0118.jpg,1
dataset/images/img_0119.jpg,0
dataset/images/img_0120.jpg,1
dataset/images/img_0121.jpg,1
dataset/images/img_0122.jpg,1
dataset/images/img_0123.jpg,1
dataset/images/img_0124.jpg,1
dataset/images/img_0125.jpg,1
dataset/images/img_0126.jpg,1
dataset/images/img_0127.jpg,1
